# 表記・文体の検査ルール。書式は「正規表現」と「指摘」をタブで区切る
# 文字クラスに全角文字を置くとロケールによりバイト単位で照合されるため、選択肢で記述する
および	「および」→「及び」
または	「または」→「又は」
ならびに	「ならびに」→「並びに」
もしくは	「もしくは」→「若しくは」
但し	「但し」→「ただし」
尚(、| )	「尚」→「なお」
且つ	「且つ」→「かつ」
(^|。)従って	接続詞の「従って」→「したがって」
(^|。)又、	接続詞の「又」→「また」
故に	「故に」→「ゆえに」
尚更	「尚更」→「なおさら」
(する|した|る|い|の)事(を|は|が|に|で|も|と|、|。)	形式名詞の「事」→「こと」
(の|な|る|た)為(に|の|、|。)	形式名詞の「為」→「ため」
(の|る|た)通り(を|は|が|に|で|も|と|、|。)	形式名詞の「通り」→「とおり」
の内(を|は|が|に|で|も|と|、|。)	形式名詞の「内」→「うち」
(する|した|る)時(を|は|が|に|で|も|と|、|。)	形式名詞の「時」→「とき」
(の|る|た)所(を|は|が|に|で|も|と|、|。)	形式名詞の「所」→「ところ」
(の|る|た)物(を|は|が|に|で|も|と|、|。)	形式名詞の「物」→「もの」
(の|る|た)訳(を|は|が|に|で|も|と|、|。)	形式名詞の「訳」→「わけ」
出来(る|ない|た|ず)	「出来る」→「できる」
頂(く|き|け)	「頂く」→「いただく」
て置く	補助動詞の「置く」→「おく」
て来る	補助動詞の「来る」→「くる」
て行く	補助動詞の「行く」→「いく」
て見る	補助動詞の「見る」→「みる」
て仕舞	補助動詞の「仕舞う」→「しまう」
と共に	「と共に」→「とともに」
と言う	「と言う」→「という」
に付いて	「に付いて」→「について」
に於	「に於いて」→「において」
に依(り|る|っ)	「に依る」→「による」
すべて	「すべて」→「全て」
無い	「無い」→「ない」
様々	「様々」→「さまざま」
予め	「予め」→「あらかじめ」
殆ど	「殆ど」→「ほとんど」
勿論	「勿論」→「もちろん」
尤も	「尤も」→「もっとも」
迄	「迄」→「まで」
其の	「其の」→「その」
此の	「此の」→「この」
丁度	「丁度」→「ちょうど」
沢山	「沢山」→「たくさん」
未だ	「未だ」→「まだ」
何時	「何時」→「いつ」
何処	「何処」→「どこ」
宜しく	「宜しく」→「よろしく」
概ね	「概ね」→「おおむね」
随分	「随分」→「ずいぶん」
など	「など」→「等」
[1-9]つ	訓による数え方は漢数字
(０|１|２|３|４|５|６|７|８|９)	数字は半角
ヶ(月|所)	「ヶ」→「箇」又は「か」
(，|．)	読点は「、」、句点は「。」
(（|）)	括弧は半角
　	全角スペースを用いない
(！|？|：|；|／|＃|％|＆|＊|＋|＝|＠|＄|｜|＜|＞|［|］|｛|｝|“|”|‘|’|－)	記号は半角
(です|でし|ます|まし|ませ)	常体で記述する
(ください|下さい)	常体で記述する
(致し|ござい|申し上げ)	常体で記述する
